episode,reward,loss,epsilon,crops,covered,val_recall,val_crops,val_score
484,21.15,1.1028,0.6622,10,25,,,
485,1.8,1.116,0.6612,14,5,,,
486,0.2,1.1828,0.6607,7,2,,,
487,11.55,1.0734,0.6602,6,14,,,
488,37.35,1.0325,0.6595,9,41,,,
489,3.35,1.1472,0.6585,11,7,,,
490,19.55,1.1611,0.6575,13,24,,,
491,6.8,1.1598,0.6565,13,9,,,
492,19.65,1.1289,0.6556,11,24,,,
493,34.95,1.0995,0.655,6,38,,,
494,18.95,1.1267,0.6545,8,21,,,
495,18.25,1.005,0.654,8,21,,,
496,-0.15,0.9644,0.653,7,1,,,
497,2.4,1.0095,0.6524,8,4,,,
498,36.8,1.1089,0.6516,9,45,,,
499,11.85,0.942,0.6512,5,15,,,
500,-2.15,0.9227,0.6502,11,0,0.4988,11.219,-0.5003
501,41.45,1.1864,0.6492,14,52,,,
502,-1.35,1.1355,0.6484,13,2,,,
503,3.7,0.9132,0.6479,6,5,,,
504,-0.4,0.891,0.6477,2,0,,,
505,0.05,1.0697,0.6473,5,1,,,
506,-1.0,1.1689,0.6463,12,1,,,
507,-0.2,1.143,0.6462,1,0,,,
508,-0.9,1.1701,0.6455,6,0,,,
509,9.85,1.1784,0.6451,5,12,,,
510,9.5,1.0131,0.6441,9,15,,,
511,2.9,1.1223,0.6434,6,4,,,
512,3.85,0.9469,0.6424,11,6,,,
513,27.7,0.9431,0.6419,8,30,,,
514,25.05,0.9668,0.6408,14,30,,,
515,18.8,0.8567,0.6402,8,21,,,
516,5.9,1.2213,0.6395,6,7,,,
517,-0.6,1.2168,0.6389,4,0,,,
518,1.4,1.0797,0.6381,13,7,,,
519,21.85,1.1796,0.637,14,27,,,
520,1.25,1.194,0.6365,4,2,,,
521,20.35,1.1336,0.6355,14,23,,,
522,25.4,1.1609,0.635,4,27,,,
523,3.25,0.9363,0.6345,5,4,,,
524,3.65,1.0226,0.6338,8,6,,,
525,-0.2,1.0371,0.6332,7,1,,,
526,2.5,1.1948,0.6322,15,6,,,
527,21.95,1.1892,0.6315,10,25,,,
528,3.65,1.1027,0.6313,2,4,,,
529,-1.5,1.1187,0.6303,9,0,,,
530,6.85,0.9698,0.6293,13,11,,,
531,28.1,0.9666,0.6285,7,35,,,
532,9.6,0.978,0.6275,14,16,,,
533,-0.75,1.1367,0.6271,4,0,,,
534,3.65,1.2335,0.6263,7,6,,,
535,-0.3,1.1386,0.626,2,0,,,
536,42.6,0.9602,0.6252,11,49,,,
537,1.35,1.1728,0.6244,9,3,,,
538,55.5,0.9481,0.6234,13,68,,,
539,13.1,1.2501,0.6229,8,16,,,
540,6.0,1.0856,0.6219,11,9,,,
541,20.5,0.8638,0.6209,13,26,,,
542,3.4,1.0919,0.6201,10,6,,,
543,4.8,1.0414,0.6196,7,9,,,
544,38.85,1.0056,0.6185,14,46,,,
545,35.6,1.147,0.6175,12,43,,,
546,-1.3,0.8531,0.6171,5,2,,,
